rule_id,source,table,category,drug_class,example_drugs,practice_statement_verbatim
MALPIP-S2-A02-01,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),H2 receptors antagonists,"Cimetidine, famotidine",Increase risk of altered mental status. Start with low dose and taper up when indicated
MALPIP-S2-A02-02,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Proton pump inhibitors,"Omeprazole, esomeprazole, rabeprazole, pantoprazole","Increase risk of osteoporotic-related fractures, Clostridium difficile infection, community-acquired pneumonia, kidney disease, and dementia. Avoid duration more than 8 weeks."
MALPIP-S2-A02-03,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Metoclopramide,,May cause extrapyramidal symptoms and cognitive impairment.
MALPIP-S2-A02-04,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Atropine,,Anticholinergics effect increase the risk of falls and cognitive impairments
MALPIP-S2-A02-05,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Belladona alkaloids,,Anticholinergics effect increase the risk of falls and cognitive impairments
MALPIP-S2-A02-06,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Clidinium-chlordiazepoxide,,"May cause sedation, weakness, confusion and hypotension. Contraindicated in patient with angle-closure glaucoma. Interact strongly with CNS depressant and opioids, causing respiratory depression."
MALPIP-S2-A02-07,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Dicyclomine,,Anticholinergics effect increase the risk of falls and cognitive impairments
MALPIP-S2-A02-08,MALPIP,S2 (Independent PIM list),Acid related disorders (A02),Homatropine,,Anticholinergics effect increase the risk of falls and cognitive impairments. May cause confusion. 
MALPIP-S2-A06-01,MALPIP,S2 (Independent PIM list),Constipation (A06),Viscous paraffin,,"Because of the risk of aspiration, oral liquid paraffin should not be given to patients who have difficulty swallowing, or to those with impaired neurodevelopment.  Avoid immediately before bed and avoid prolonged use"
MALPIP-S2-A06-02,MALPIP,S2 (Independent PIM list),Constipation (A06),Cascara sagrada,,"Contraindicated in abdominal pain, nausea, vomiting, faecal impaction, bowel obstruction, and inflammatory conditions of the intestine"
MALPIP-S2-A06-03,MALPIP,S2 (Independent PIM list),Constipation (A06),Magnesium oxide,,Risk of electrolyte disturbance and dehydration. Use with caution in older people and in renal impairment or cardiovascular disease.
MALPIP-S2-A06-04,MALPIP,S2 (Independent PIM list),Constipation (A06),Polyethylene glycol,,Acute exacerbation of chronic heart failure and metabolic acidosis
MALPIP-S2-A10-01,MALPIP,S2 (Independent PIM list),Diabetes mellitus (A10),Sulfonylureas,"Glyburide (glibenclamide), glimepiride, glipizide, gliclazide",Avoid long-acting sulfonylureas. Can cause severe hypoglycaemia.
MALPIP-S2-A10-02,MALPIP,S2 (Independent PIM list),Diabetes mellitus (A10),Pioglitazone,,Can cause osteoporosis and fractures; may worsen heart failure
MALPIP-S2-A10-03,MALPIP,S2 (Independent PIM list),Diabetes mellitus (A10),Insulin sliding scale,,Similar risk of hypoglycaemia and poorer glucose control
MALPIP-S2-B01-01,MALPIP,S2 (Independent PIM list),Antithrombotic agents (B01),Dipyridamole,,"May cause orthostatic hypotension. Caution in patients with aortic stenosis, unstable angina or recent MI due to vasodilation effects"
MALPIP-S2-B01-02,MALPIP,S2 (Independent PIM list),Antithrombotic agents (B01),Vitamin K antagonists,Warfarin,High bleeding risk and may cause cognitive decline
MALPIP-S2-B01-03,MALPIP,S2 (Independent PIM list),Antithrombotic agents (B01),Direct thrombin inhibitors,Dabigatran,Increased risk of gastrointestinal bleeding; haemorrhagic stroke and haemorrhage.  Avoid use in elderly patients with CrCl less than 30 mL/min
MALPIP-S2-B01-04,MALPIP,S2 (Independent PIM list),Antithrombotic agents (B01),Factor Xa inhibitors,"Rivaroxaban, apixaban",Increased risk of gastrointestinal bleeding. Increased serum concentrations may occur with renal impairment and dose adjustment may be indicated.  Assess renal profile before initiation.
MALPIP-S2-B01-05,MALPIP,S2 (Independent PIM list),Antithrombotic agents (B01),Ticlopidine,,"Increased risk of bleeding, leukopenia and hepatotoxicity"
MALPIP-S2-B01-06,MALPIP,S2 (Independent PIM list),Antithrombotic agents (B01),Prasugrel,,Increased risk of bleeding in older patients. Use with caution in severe renal and hepatic impairment. 
MALPIP-S2-C01-01,MALPIP,S2 (Independent PIM list),Cardiac therapy (C01),Digoxin,,"Low dose digoxin may be indicated in heart failure. Evaluate renal function and electrolytes before initiation. Watch for signs of toxicity (e.g. anorexia, nausea or confusion); monitor concentration if renal impairment, hypoxia, hypothyroidism or electrolyte disturbance is present."
MALPIP-S2-C01-02,MALPIP,S2 (Independent PIM list),Cardiac therapy (C01),Antiarrhythmics,"Amiodarone, flecainide","May increase the risk of bradycardia, orthostatic hypotension, urinary retention, and falls. Examine drug-drug interactions. Tailor regimen according to patient's physiology and medication profile. Routine blood test and ECG warranted."
MALPIP-S2-C02-01,MALPIP,S2 (Independent PIM list),Antihypertensives (C02),Methyldopa,,May cause hypotension and increase fall risk
MALPIP-S2-C02-02,MALPIP,S2 (Independent PIM list),Antihypertensives (C02),Clonidine,,May cause hypotension and increase fall risk
MALPIP-S2-C02-03,MALPIP,S2 (Independent PIM list),Antihypertensives (C02),Moxonidine,,May cause hypotension and increase fall risk
